ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default payment next month
24001;50000;1;2;2;23;2;2;0;0;0;0;51246;49758;48456;44116;21247;20066;8;2401;2254;2004;704;707;0
24002;60000;1;2;2;26;0;0;0;0;0;0;58072;59040;57416;55736;26958;28847;2282;2324;2049;2000;3000;1120;1
24003;400000;1;2;2;27;0;0;0;0;0;0;15330;8626;11470;10745;20737;9545;2501;10009;1437;1105;510;959;0
24004;20000;1;5;2;27;5;4;3;2;2;2;21673;21051;20440;19709;20113;19840;0;0;0;900;0;0;0
24005;50000;1;3;2;27;0;0;-2;-2;-1;-1;32590;-100;0;0;70;120;0;100;0;70;200;100;0
24006;110000;1;2;2;27;0;0;0;0;0;0;102551;103550;105089;107164;105988;108617;5500;6000;6000;4000;5000;4000;0
24007;30000;1;3;2;23;0;0;-2;-1;0;0;4443;370;380;590;7704;20204;430;400;601;7504;15005;5674;0
24008;230000;1;2;2;27;0;0;0;0;0;0;34592;23689;27652;8430;9811;9865;1816;5105;1293;2000;528;3000;0
24009;20000;1;3;3;23;0;0;0;0;0;0;18455;19990;20215;19298;19807;12294;2000;20000;1612;1121;702;1000;0
24010;30000;1;1;2;24;0;0;0;2;0;0;6003;4912;6214;3311;4430;906;1440;2259;0;1500;425;895;0
24011;90000;1;2;2;25;0;0;0;0;0;0;91151;88937;91097;52285;46430;47404;3453;3868;1960;1658;1718;2200;0
24012;30000;1;2;2;25;2;0;0;0;0;0;24279;25281;26568;29872;23504;25724;1713;2000;4000;0;3000;1000;1
24013;20000;1;3;2;24;4;3;2;0;0;0;20569;19927;16371;17291;18001;18706;0;0;1500;1000;1000;836;1
24014;20000;1;2;2;24;2;2;2;0;0;-1;17996;19102;19117;19664;10000;4060;2100;1000;1000;1100;4060;0;1
24015;50000;1;2;2;24;0;0;0;0;0;0;12236;13324;14403;15460;15804;16549;1300;1300;1300;600;1000;602;0
24016;80000;1;2;2;25;-1;-1;-1;-1;-1;-1;416;416;416;416;416;416;416;416;416;416;416;416;0
24017;120000;1;1;2;28;-1;-1;-1;-1;-1;-1;231;6665;880;0;4440;4440;6673;880;0;4440;4440;4440;0
24018;50000;1;2;2;24;-1;-1;-1;-1;0;0;5814;-73;11427;191;7391;6554;0;11500;191;7200;2000;7000;0
24019;200000;1;1;2;26;0;0;0;0;0;0;50124;51122;52533;52772;53441;22246;1830;2235;1447;1069;445;9332;0
24020;150000;1;2;;25;0;0;0;0;0;0;140662;144334;148016;150128;94834;97487;6000;6000;5176;5000;4002;3628;0
24021;360000;1;1;2;24;2;0;0;-2;-2;-2;1188;1803;777;-3;-3;-3;1003;783;0;0;0;0;1
24022;60000;1;1;2;25;0;0;2;2;2;0;56918;61210;52757;29209;26403;26969;5914;17;3106;0;1104;1134;0
24023;80000;1;2;2;25;3;2;0;0;-1;-1;79977;78091;80288;82150;319;85;0;3456;3750;319;85;322;0
24024;320000;1;1;2;25;0;0;0;0;0;0;146183;148703;169920;174315;173032;176016;6206;25006;10025;6506;7006;8006;0
24025;140000;1;2;2;25;2;0;0;0;0;0;142697;137269;133767;120287;117183;119575;5010;6377;5604;4160;8239;0;1
24026;20000;1;2;1;26;3;2;2;3;3;3;1050;1050;1050;1050;1050;1050;0;0;0;0;0;0;1
24027;110000;1;2;2;26;0;-1;-1;2;0;0;60808;196;3290;3089;3601;3396;196;3290;0;563;296;200;0
24028;190000;1;2;2;26;0;0;0;2;2;2;45694;52361;43563;40909;50758;36922;9000;8000;0;12000;3000;0;0
24029;130000;1;2;2;25;0;0;0;2;2;2;113290;112561;119435;105382;49643;46812;5650;12421;0;7000;0;2000;0
24030;160000;1;1;2;26;0;0;0;0;-1;-1;138825;135233;130038;79027;6666;6666;6800;5600;3715;6666;6666;6666;1
24031;260000;1;1;2;26;0;0;0;0;0;0;250303;198350;189510;178738;182973;187233;7065;7054;6500;7000;7001;10000;0
24032;80000;1;1;2;26;-1;-1;-1;-1;-1;-1;7412;945;1096;162;6600;1780;;1096;163;6600;1780;0;0
24033;50000;1;2;2;25;0;0;2;2;4;3;28651;41897;43032;47242;46212;45205;14200;2100;5215;0;0;0;1
24034;100000;1;1;2;26;0;0;0;0;0;0;91189;93383;96301;90858;92724;96030;3500;4300;4400;4000;4700;5000;0
24035;20000;1;2;2;27;1;2;0;0;2;2;7326;7060;8240;9582;9279;9971;0;1296;1638;0;844;0;1
24036;210000;1;2;2;27;1;-1;2;0;0;-2;0;628;232;1067;-27;-27;628;0;1000;0;0;0;0
24037;160000;1;2;2;28;0;0;0;0;0;-1;84879;59607;38512;19129;15525;11146;2593;2000;1604;2000;11146;2006;0
